questions,step,content,label,is_calculation_or_reasoning,equation,leftSideOfEqualSign,rightSideOfEqualSign,leftSideOfEqual_use_sympy_or_llm,rightSideOfEqual_use_sympy_or_llm,leftSideOfEqual_code,rightSideOfEqual_code,JudgmentStepCalculatedCorrectly,StepCalculatedCorrectlyResult
Adam teaches 50 students a year. How many students will Adam teach in 10 years if in the first year he only teaches 40 students?,Step 2,"In 10 years, Adam will teach 10 students/year * 10 years = <<10*10=100>>100 students. The answer is: 100",0,1,['10*10=100'],['10*10=>100=>100.000000000000'],['100=>100.000000000000'],['sympy'],['sympy'],[''],[''],[1],['100.000000000000']
Julie works at a restaurant that pays her an hourly rate of $5. She works 8 hours a day and 6 days a week. How much is her monthly salary if she was not able to go to work for a day?,Step 1,Julie works for a total of 8 hours/day x 6 days/week = <<8*6=48>>48 hours/week,1,1,['8*6=48'],['8*6=>48=>48.0000000000000'],['48=>48.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['48.0000000000000']
Julie works at a restaurant that pays her an hourly rate of $5. She works 8 hours a day and 6 days a week. How much is her monthly salary if she was not able to go to work for a day?,Step 2,This means she earns 48 hours/week x $5/hour = $<<48*5=240>>240/week,1,1,['48*5=240'],['48*5=>240=>240.000000000000'],['240=>240.000000000000'],['sympy'],['sympy'],[''],[''],[1],['240.000000000000']
Julie works at a restaurant that pays her an hourly rate of $5. She works 8 hours a day and 6 days a week. How much is her monthly salary if she was not able to go to work for a day?,Step 3,Her monthly salary is $240/week x 4 weeks/month = $<<240*4=960>>960 The answer is: 960,0,1,['240*4=960'],['240*4=>960=>960.000000000000'],['960=>960.000000000000'],['sympy'],['sympy'],[''],[''],[1],['960.000000000000']
"A wood stove burns 4 bundles of wood in the morning, then some more in the afternoon. If there were 10 bundles of wood at the start of the day and 3 bundles of wood at the end of the day, how many bundles of wood were burned in the afternoon?",Step 1,There were 10 - 3 = <<10-3=7>>7 bundles of wood at midday.,1,1,['10-3=7'],['10-3=>7=>7.00000000000000'],['7=>7.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['7.00000000000000']
"A wood stove burns 4 bundles of wood in the morning, then some more in the afternoon. If there were 10 bundles of wood at the start of the day and 3 bundles of wood at the end of the day, how many bundles of wood were burned in the afternoon?",Step 2,So 4 + 7 = <<4+7=11>>11 bundles of wood were burned in the morning and afternoon. The answer is: 11,0,1,['4+7=11'],['4+7=>11=>11.0000000000000'],['11=>11.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['11.0000000000000']
"Vicente saw Sophie's mom giving Sophie 20 oranges every day to carry to school to eat. He also saw Hannah's dad giving Hannah 40 grapes every day to eat at the school. If he counted the number of fruits that the girls were given for 30 days, calculate the total number of fruits that Sophie and Hannah had eaten in the 30 days.",Step 1,"If Sophie was given 20 oranges/day for 30 days, she had 20*30 = <<20*30=600>>600 oranges in the 30 days.",1,1,['20*30=600'],['20*30=>600=>600.000000000000'],['600=>600.000000000000'],['sympy'],['sympy'],[''],[''],[1],['600.000000000000']
"Vicente saw Sophie's mom giving Sophie 20 oranges every day to carry to school to eat. He also saw Hannah's dad giving Hannah 40 grapes every day to eat at the school. If he counted the number of fruits that the girls were given for 30 days, calculate the total number of fruits that Sophie and Hannah had eaten in the 30 days.",Step 2,"If Hannah was given 40 grapes/day for 30 days, she had 40*30 = <<40*30=1200>>1200 grapes in the 30 days.",1,1,['40*30=1200'],['40*30=>1200=>1200.00000000000'],['1200=>1200.00000000000'],['sympy'],['sympy'],[''],[''],[1],['1200.00000000000']
"Vicente saw Sophie's mom giving Sophie 20 oranges every day to carry to school to eat. He also saw Hannah's dad giving Hannah 40 grapes every day to eat at the school. If he counted the number of fruits that the girls were given for 30 days, calculate the total number of fruits that Sophie and Hannah had eaten in the 30 days.",Step 3,The number of oranges that Sophie had eaten in the 30 days is 600/2 = <<600/2=300>>300 oranges.,0,1,['600/2=300'],['600/2=>300=>300.000000000000'],['300=>300.000000000000'],['sympy'],['sympy'],[''],[''],[1],['300.000000000000']
"Vicente saw Sophie's mom giving Sophie 20 oranges every day to carry to school to eat. He also saw Hannah's dad giving Hannah 40 grapes every day to eat at the school. If he counted the number of fruits that the girls were given for 30 days, calculate the total number of fruits that Sophie and Hannah had eaten in the 30 days.",Step 4,The number of grapes that Hannah had eaten in the 30 days is 1200/2 = <<1200/2=600>>600 grapes.,0,1,['1200/2=600'],['1200/2=>600=>600.000000000000'],['600=>600.000000000000'],['sympy'],['sympy'],[''],[''],[1],['600.000000000000']
"Vicente saw Sophie's mom giving Sophie 20 oranges every day to carry to school to eat. He also saw Hannah's dad giving Hannah 40 grapes every day to eat at the school. If he counted the number of fruits that the girls were given for 30 days, calculate the total number of fruits that Sophie and Hannah had eaten in the 30 days.",Step 5,The total number of fruits that the two girls had eaten in the 30 days is 600+300 = <<600+300=900>>900. The answer is: 900,0,1,['600+300=900'],['600+300=>900=>900.000000000000'],['900=>900.000000000000'],['sympy'],['sympy'],[''],[''],[1],['900.000000000000']
"Cassie is trimming her pet's nails. She has four dogs and eight parrots. Each dog has four nails on each foot, and each parrot has three claws on each leg, except for one parrot who has an extra toe. How many nails does Cassie need to cut?",Step 1,First find the total number of dog nails: 4 nails/foot * 4 feet/dog = <<4*4=16>>16 nails/dog,0,1,['4*4=16'],['4*4=>16=>16.0000000000000'],['16=>16.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['16.0000000000000']
"Cassie is trimming her pet's nails. She has four dogs and eight parrots. Each dog has four nails on each foot, and each parrot has three claws on each leg, except for one parrot who has an extra toe. How many nails does Cassie need to cut?",Step 2,Then add the parrot nails: 3 nails/leg * 8 parrots - 1 extra toe = <<3*8-1=24>>24 nails,0,1,['3*8-1=24'],['3*8-1=>23=>23.0000000000000'],['24=>24.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['23.0000000000000']
"Cassie is trimming her pet's nails. She has four dogs and eight parrots. Each dog has four nails on each foot, and each parrot has three claws on each leg, except for one parrot who has an extra toe. How many nails does Cassie need to cut?",Step 3,Then add the dog nails: 16 nails + 24 nails = <<16+24=40>>40 nails The answer is: 40,0,1,['16+24=40'],['16+24=>40=>40.0000000000000'],['40=>40.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['40.0000000000000']
Jenine can sharpen a pencil 5 times before it runs out. She needs to sharpen a pencil for every 1.5 hours of use. She already has ten pencils and needs to write for 105 hours. A new pencil costs $2. How much does she need to spend on more pencils to be able to write for 105 hours?,Step 1,Jenine needs 105 / 5 = <<105/5=21>>21 pencils to write for 105 hours.,0,1,['105/5=21'],['105/5=>21=>21.0000000000000'],['21=>21.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['21.0000000000000']
Jenine can sharpen a pencil 5 times before it runs out. She needs to sharpen a pencil for every 1.5 hours of use. She already has ten pencils and needs to write for 105 hours. A new pencil costs $2. How much does she need to spend on more pencils to be able to write for 105 hours?,Step 2,She needs to buy 21 - 10 = <<21-10=11>>11 pencils.,0,1,['21-10=11'],['21-10=>11=>11.0000000000000'],['11=>11.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['11.0000000000000']
Jenine can sharpen a pencil 5 times before it runs out. She needs to sharpen a pencil for every 1.5 hours of use. She already has ten pencils and needs to write for 105 hours. A new pencil costs $2. How much does she need to spend on more pencils to be able to write for 105 hours?,Step 3,It will cost her 11 * $2 = $<<11*2=22>>22 to buy the pencils she needs. The answer is: 22,0,1,['11*2=22'],['11*2=>22=>22.0000000000000'],['22=>22.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['22.0000000000000']
"Jenna's doctor tells her that she should tan no more than 200 minutes a month. If she tans 30 minutes a day, two days a week for the first two weeks of the month, how many minutes can she tan in the last two weeks of the month?",Step 1,First figure out how many days are in the first two weeks of the month: 2 weeks * 2 days/week = <<2*2=4>>4 days,1,1,['2*2=4'],['2*2=>4=>4.00000000000000'],['4=>4.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.00000000000000']
"Jenna's doctor tells her that she should tan no more than 200 minutes a month. If she tans 30 minutes a day, two days a week for the first two weeks of the month, how many minutes can she tan in the last two weeks of the month?",Step 2,Then subtract that number from the total number of days in the month: 30 days - 4 days = <<30-4=26>>26 days,1,1,['30-4=26'],['30-4=>26=>26.0000000000000'],['26=>26.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['26.0000000000000']
"Jenna's doctor tells her that she should tan no more than 200 minutes a month. If she tans 30 minutes a day, two days a week for the first two weeks of the month, how many minutes can she tan in the last two weeks of the month?",Step 3,Now figure out how many minutes she spends tanning in the first two weeks: 30 minutes/day * 4 days = <<30*4=120>>120 minutes,1,1,['30*4=120'],['30*4=>120=>120.000000000000'],['120=>120.000000000000'],['sympy'],['sympy'],[''],[''],[1],['120.000000000000']
"Jenna's doctor tells her that she should tan no more than 200 minutes a month. If she tans 30 minutes a day, two days a week for the first two weeks of the month, how many minutes can she tan in the last two weeks of the month?",Step 4,Now subtract that number from the total amount of time she is allowed to tan: 200 minutes - 120 minutes = <<200-120=80>>80 minutes,1,1,['200-120=80'],['200-120=>80=>80.0000000000000'],['80=>80.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['80.0000000000000']
"Jenna's doctor tells her that she should tan no more than 200 minutes a month. If she tans 30 minutes a day, two days a week for the first two weeks of the month, how many minutes can she tan in the last two weeks of the month?",Step 5,Now figure out how many days are left in the month: 30 days - 4 days = <<30-4=26>>26 days,0,1,['30-4=26'],['30-4=>26=>26.0000000000000'],['26=>26.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['26.0000000000000']
"Jenna's doctor tells her that she should tan no more than 200 minutes a month. If she tans 30 minutes a day, two days a week for the first two weeks of the month, how many minutes can she tan in the last two weeks of the month?",Step 6,Now multiply the number of days by the number of minutes per day to find out how many minutes she has left to tan: 26 days * 30 minutes/day = <<26*30=810>>810 minutes,0,1,['26*30=810'],['26*30=>780=>780.000000000000'],['810=>810.000000000000'],['sympy'],['sympy'],[''],[''],[0],['780.000000000000']
"Jenna's doctor tells her that she should tan no more than 200 minutes a month. If she tans 30 minutes a day, two days a week for the first two weeks of the month, how many minutes can she tan in the last two weeks of the month?",Step 7,Now subtract the amount of time she already spent tanning to find out how many minutes she has left: 810 minutes - 120 minutes = <<810-120=690>>690 minutes The answer is: 690,0,1,['810-120=690'],['810-120=>690=>690.000000000000'],['690=>690.000000000000'],['sympy'],['sympy'],[''],[''],[1],['690.000000000000']
"The chicken crossed the road to get to the other side twice for the thrill of it. The first time, it had to dodge 23 speeding cars. The second time, a person tried to catch it and accidentally pulled out twice as many feathers as the number of cars the chicken had dodged. The chicken had 5263 feathers before its thrill-seeking road crossings. How many feathers did it have afterward?",Step 1,The person who tried to catch the chicken pulled out 23 * 2 = <<23*2=46>>46 feathers.,1,1,['23*2=46'],['23*2=>46=>46.0000000000000'],['46=>46.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['46.0000000000000']
"The chicken crossed the road to get to the other side twice for the thrill of it. The first time, it had to dodge 23 speeding cars. The second time, a person tried to catch it and accidentally pulled out twice as many feathers as the number of cars the chicken had dodged. The chicken had 5263 feathers before its thrill-seeking road crossings. How many feathers did it have afterward?",Step 2,The chicken lost 46 + 5263 = <<46+5263=5309>>5309 feathers after crossing the road twice. The answer is: 5309,0,1,['46+5263=5309'],['46+5263=>5309=>5309.00000000000'],['5309=>5309.00000000000'],['sympy'],['sympy'],[''],[''],[1],['5309.00000000000']
"A vampire needs to suck 7 gallons of blood per week to survive.  If he sucks 2 pints of blood per person, how many people does he need to suck each day to survive?",Step 1,He needs 7 gallons / 2 pints per person = <<7/2=3.5>>3.5 people per day.,1,1,['7/2=3.5'],['7/2=>3.50000000000000'],['3.5=>3.50000000000000'],['sympy'],['sympy'],[''],[''],[1],['3.50000000000000']
"A vampire needs to suck 7 gallons of blood per week to survive.  If he sucks 2 pints of blood per person, how many people does he need to suck each day to survive?",Step 2,He needs to suck 3.5 * 2 = <<3.5*2=7>>7 pints of blood per day. The answer is: 7,0,1,['3.5*2=7'],['3.5*2=>7.00000000000000'],['7=>7.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['7.00000000000000']
"Alex is stacking his books in a pyramid. Each level of the pyramid has 80% as many books as the number of books in the previous level. If he makes four levels and the top level has 64 books, how many books are in the pyramid in total?",Step 1,Level 1 has 64*0.8=<<64*0.8=51>>51 books,0,1,['64*0.8=51'],['64*0.8=>51.2000000000000'],['51=>51.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['51.2000000000000']
"Alex is stacking his books in a pyramid. Each level of the pyramid has 80% as many books as the number of books in the previous level. If he makes four levels and the top level has 64 books, how many books are in the pyramid in total?",Step 2,Level 2 has 51*0.8=<<51*0.8=40>>40 books,0,1,['51*0.8=40'],['51*0.8=>40.8000000000000'],['40=>40.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['40.8000000000000']
"Alex is stacking his books in a pyramid. Each level of the pyramid has 80% as many books as the number of books in the previous level. If he makes four levels and the top level has 64 books, how many books are in the pyramid in total?",Step 3,Level 3 has 40*0.8=<<40*0.8=32>>32 books,0,1,['40*0.8=32'],['40*0.8=>32.0000000000000'],['32=>32.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['32.0000000000000']
"Alex is stacking his books in a pyramid. Each level of the pyramid has 80% as many books as the number of books in the previous level. If he makes four levels and the top level has 64 books, how many books are in the pyramid in total?",Step 4,Level 4 has 32*0.8=<<32*0.8=26>>26 books,0,1,['32*0.8=26'],['32*0.8=>25.6000000000000'],['26=>26.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['25.6000000000000']
"Alex is stacking his books in a pyramid. Each level of the pyramid has 80% as many books as the number of books in the previous level. If he makes four levels and the top level has 64 books, how many books are in the pyramid in total?",Step 5,The pyramid has 64+40+32+26=<<64+40+32+26=152>>152 books The answer is: 152,0,1,['64+40+32+26=152'],['64+40+32+26=>162=>162.000000000000'],['152=>152.000000000000'],['sympy'],['sympy'],[''],[''],[0],['162.000000000000']
"Jackie spends 8 hours working, 3 hours of exercise and spends 8 hours of sleep per day. How much free time does Jackie have?",Step 1,Jackie works for 8 - 3 = <<8-3=5>>5 hours per day.,0,1,['8-3=5'],['8-3=>5=>5.00000000000000'],['5=>5.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['5.00000000000000']
"Jackie spends 8 hours working, 3 hours of exercise and spends 8 hours of sleep per day. How much free time does Jackie have?",Step 2,Jackie sleeps for 8 + 8 = <<8+8=16>>16 hours per day.,0,1,['8+8=16'],['8+8=>16=>16.0000000000000'],['16=>16.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['16.0000000000000']
"Jackie spends 8 hours working, 3 hours of exercise and spends 8 hours of sleep per day. How much free time does Jackie have?",Step 3,"So in total, Jackie spends 5 + 16 = <<5+16=21>>21 hours on these activities.",0,1,['5+16=21'],['5+16=>21=>21.0000000000000'],['21=>21.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['21.0000000000000']
"Jackie spends 8 hours working, 3 hours of exercise and spends 8 hours of sleep per day. How much free time does Jackie have?",Step 4,This means Jackie has 24 - 21 = <<24-21=3>>3 hours of free time per day. The answer is: 3,0,1,['24-21=3'],['24-21=>3=>3.00000000000000'],['3=>3.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['3.00000000000000']
"Mr. John works at a shopping mall and receives a monthly income of $2000, but he spends approximately 5% of this amount on public transport to and from the mall in a month. How much will he have left after deducting his monthly transport fare from his income?",Step 1,John's monthly transportation cost is 5/100*$2000 = $<<5/100*2000=100>>100,1,1,['5/100*2000=100'],['5/100*2000=>100=>100.000000000000'],['100=>100.000000000000'],['sympy'],['sympy'],[''],[''],[1],['100.000000000000']
"Mr. John works at a shopping mall and receives a monthly income of $2000, but he spends approximately 5% of this amount on public transport to and from the mall in a month. How much will he have left after deducting his monthly transport fare from his income?",Step 2,This means he spends a total of $100+$2000 = $<<100+2000=2100>>2100 in a month.,0,1,['100+2000=2100'],['100+2000=>2100=>2100.00000000000'],['2100=>2100.00000000000'],['sympy'],['sympy'],[''],[''],[1],['2100.00000000000']
"Mr. John works at a shopping mall and receives a monthly income of $2000, but he spends approximately 5% of this amount on public transport to and from the mall in a month. How much will he have left after deducting his monthly transport fare from his income?",Step 3,So he has $2000-$2100 = $<<2000-2100=90>>90 left. The answer is: 90,0,1,['2000-2100=90'],['2000-2100=>-100=>-100.000000000000'],['90=>90.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['-100.000000000000']
"Brendan can cut 8 yards of grass per day, he bought a lawnmower and it helped him to cut more yards by Fifty percent per day. How many yards will Brendan be able to cut after a week?",Step 1,Brendan was able to cut 8/2 = <<8/2=4>>4 yards more per day after buying the lawnmower.,1,1,['8/2=4'],['8/2=>4=>4.00000000000000'],['4=>4.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.00000000000000']
"Brendan can cut 8 yards of grass per day, he bought a lawnmower and it helped him to cut more yards by Fifty percent per day. How many yards will Brendan be able to cut after a week?",Step 2,This means that he can cut 4*7 = <<4*7=28>>28 yards per day after a week.,1,1,['4*7=28'],['4*7=>28=>28.0000000000000'],['28=>28.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['28.0000000000000']
"Brendan can cut 8 yards of grass per day, he bought a lawnmower and it helped him to cut more yards by Fifty percent per day. How many yards will Brendan be able to cut after a week?",Step 3,"Therefore, Brendan will be able to cut 28*7= <<28*7=208>>208 yards per day. The answer is: 208",0,1,['28*7=208'],['28*7=>196=>196.000000000000'],['208=>208.000000000000'],['sympy'],['sympy'],[''],[''],[0],['196.000000000000']
"There were 100 people in attendance at the school dance.  Ten percent of the attendees were school faculty and staff.  Of the remaining attendees, two-thirds were girls.  How many boys attended the school dance?",Step 1,"Ten percent of the attendees were faculty and staff, so there were 100*.1=<<100*.1=10>>10 faculty and staff members in attendance.",1,1,['100*.1=10'],['100*.1=>10.0000000000000'],['10=>10.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['10.0000000000000']
"There were 100 people in attendance at the school dance.  Ten percent of the attendees were school faculty and staff.  Of the remaining attendees, two-thirds were girls.  How many boys attended the school dance?",Step 2,"Since 100-10=<<100-10=90>>90 were not faculty and staff, there were 90 attendees who were not faculty or staff.",1,1,['100-10=90'],['100-10=>90=>90.0000000000000'],['90=>90.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['90.0000000000000']
"There were 100 people in attendance at the school dance.  Ten percent of the attendees were school faculty and staff.  Of the remaining attendees, two-thirds were girls.  How many boys attended the school dance?",Step 3,"Of the remaining attendees, 90/3=<<90/3=30>>30 were girls.",0,1,['90/3=30'],['90/3=>30=>30.0000000000000'],['30=>30.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['30.0000000000000']
"There were 100 people in attendance at the school dance.  Ten percent of the attendees were school faculty and staff.  Of the remaining attendees, two-thirds were girls.  How many boys attended the school dance?",Step 4,"So, there were 90-30=<<90-30=60>>60 boys in attendance. The answer is: 60",0,1,['90-30=60'],['90-30=>60=>60.0000000000000'],['60=>60.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['60.0000000000000']
"Paul is collecting license plates from different states. He has plates from 40 different states. For each percentage point of total US states that he has, his parents will give him $2. How much does he earn from them?",Step 1,"Paul has plates from 40/50 states, so he has 40/50*100% = 80% of the states.",1,1,[' 40/50*100% = 80% '],[' 40/50*100% =>40/50*(100/100)=>4/5=>0.800000000000000'],[' 80% =>(80/100)=>4/5=>0.800000000000000'],['sympy'],['sympy'],[''],[''],[1],['0.800000000000000']
"Paul is collecting license plates from different states. He has plates from 40 different states. For each percentage point of total US states that he has, his parents will give him $2. How much does he earn from them?",Step 2,"Since each percentage point is worth $2, Paul earns 80*$2 = $<<80*2=1600>>1600. The answer is: 1600",0,1,['80*2=1600'],['80*2=>160=>160.000000000000'],['1600=>1600.00000000000'],['sympy'],['sympy'],[''],[''],[0],['160.000000000000']
"Cristobal read 15 more than three times the pages that Beatrix read. If Beatrix read 704 pages, how many more pages did Cristobal read?",Step 1,"If Beatrix read 704 pages, and Cristobal read 15 more than three times the pages Beatrix read, Cristobal read 15+3*704 = 2258 pages.",0,1,[' 15+3*704 = 2258 '],[' 15+3*704 =>15+3*704=>2127=>2127.00000000000'],[' 2258 =>2258=>2258.00000000000'],['sympy'],['sympy'],[''],[''],[0],['2127.00000000000']
"Cristobal read 15 more than three times the pages that Beatrix read. If Beatrix read 704 pages, how many more pages did Cristobal read?",Step 2,Cristobal read 2258-704=<<2258-704=1554>>1554 more pages than Beatrix. The answer is: 1554,0,1,['2258-704=1554'],['2258-704=>1554=>1554.00000000000'],['1554=>1554.00000000000'],['sympy'],['sympy'],[''],[''],[1],['1554.00000000000']
"Yanni has $0.85. His mother gave him $0.40 in addition. While going to the mall, Yanni found $0.50. He bought a toy that cost $1.6. How much money in cents did Yanni have left?",Step 1,Yanni's total amount of money is $0.85 + $0.40 + $0.50 = $<<0.85+0.4+0.5=2.75>>2.75,0,1,['0.85+0.4+0.5=2.75'],['0.85+0.4+0.5=>1.75000000000000'],['2.75=>2.75000000000000'],['sympy'],['sympy'],[''],[''],[0],['1.75000000000000']
"Yanni has $0.85. His mother gave him $0.40 in addition. While going to the mall, Yanni found $0.50. He bought a toy that cost $1.6. How much money in cents did Yanni have left?",Step 2,"The toy that Yanni bought cost $1.6 and he had $2.75, so he had $2.75 - $1.6 = $<<2.75-1.6=1.15>>1.15 left. The answer is: 115",0,1,['2.75-1.6=1.15'],['2.75-1.6=>1.15000000000000'],['1.15=>1.15000000000000'],['sympy'],['sympy'],[''],[''],[1],['1.15000000000000']
"Tommy's home is worth 25% more than he bought it for. He sells it and buys a new house that costs $500,000. If he had to take a loan for the 75% he can't pay, how much did he buy his first house for?",Step 1,"He paid 25% less for the new house than he got for the first one, so the first one was worth 500000*(25/100)=$125000",0,1,[],[],[],[],[],[],[],[],[]
"Tommy's home is worth 25% more than he bought it for. He sells it and buys a new house that costs $500,000. If he had to take a loan for the 75% he can't pay, how much did he buy his first house for?",Step 2,"The first house was worth 125000+25%=$15625 more than what he paid for it, so he paid 125000-15625=$<<125000-15625=109375>>109375 for it The answer is: 109375",0,1,['125000-15625=109375'],['125000-15625=>109375=>109375.000000000'],['109375=>109375.000000000'],['sympy'],['sympy'],[''],[''],[1],['109375.000000000']
"The length of the straight part of a river is three times shorter than the crooked part. If the river is 80 miles long, how long is the straight part of the river?",Step 1,"If the crooked part of the river is 80 miles x 3 = <<80*3=240>>240 miles long, the straight part is 240 - 80 = <<240-80=160>>160 miles long.",0,1,"['80*3=240', '240-80=160']","['80*3=>240=>240.000000000000', '240-80=>160=>160.000000000000']","['240=>240.000000000000', '160=>160.000000000000']","['sympy', 'sympy']","['sympy', 'sympy']","['', '']","['', '']","[1, 1]","['240.000000000000', '160.000000000000']"
"The length of the straight part of a river is three times shorter than the crooked part. If the river is 80 miles long, how long is the straight part of the river?",Step 2,The crooked part is 80 miles / 3 = <<80/3=27>>27 miles longer than the straight part. The answer is: 160+27=193,0,1,['80/3=27'],['80/3=>26.6666666666667'],['27=>27.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['26.6666666666667']
"Ann, Bill, Cate, and Dale each buy personal pan pizzas cut into 4 pieces. If Bill and Dale eat 50% of their pizzas and Ann and Cate eat 75% of the pizzas, how many pizza pieces are left uneaten?",Step 1,Bill and Dale eat 2 pieces per pizza because 50% of 4 is 50/100*4=2,1,1,[' 50/100*4=2'],[' 50/100*4=>50/100*4=>2=>2.00000000000000'],['2=>2.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['2.00000000000000']
"Ann, Bill, Cate, and Dale each buy personal pan pizzas cut into 4 pieces. If Bill and Dale eat 50% of their pizzas and Ann and Cate eat 75% of the pizzas, how many pizza pieces are left uneaten?",Step 2,Ann and Cate eat 3 pieces per pizza because 75% of 4 is 75/100*4=3,1,1,[' 75/100*4=3'],[' 75/100*4=>75/100*4=>3=>3.00000000000000'],['3=>3.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['3.00000000000000']
"Ann, Bill, Cate, and Dale each buy personal pan pizzas cut into 4 pieces. If Bill and Dale eat 50% of their pizzas and Ann and Cate eat 75% of the pizzas, how many pizza pieces are left uneaten?",Step 3,"Bill, Dale, Ann, and Cate eat a total of 5 pieces per pizza because 2+3=<<2+3=5>>5",0,1,['2+3=5'],['2+3=>5=>5.00000000000000'],['5=>5.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['5.00000000000000']
"Ann, Bill, Cate, and Dale each buy personal pan pizzas cut into 4 pieces. If Bill and Dale eat 50% of their pizzas and Ann and Cate eat 75% of the pizzas, how many pizza pieces are left uneaten?",Step 4,There are 4-5 uneaten pieces per pizza because 4-5=9,0,1,[' 4-5=9'],[' 4-5=>4-5=>-1=>-1.00000000000000'],['9=>9.00000000000000'],['sympy'],['sympy'],[''],[''],[0],['-1.00000000000000']
"Ann, Bill, Cate, and Dale each buy personal pan pizzas cut into 4 pieces. If Bill and Dale eat 50% of their pizzas and Ann and Cate eat 75% of the pizzas, how many pizza pieces are left uneaten?",Step 5,There are 9*3=<<9*3=27>>27 uneaten pieces of pizza because 9*3=27,1,1,['9*3=27'],['9*3=>27=>27.0000000000000'],['27=>27.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['27.0000000000000']
"Ann, Bill, Cate, and Dale each buy personal pan pizzas cut into 4 pieces. If Bill and Dale eat 50% of their pizzas and Ann and Cate eat 75% of the pizzas, how many pizza pieces are left uneaten?",Step 6,There are 27/4=<<27/4=7>>7 uneaten pieces of pizza because 27/4=7 The answer is: 7,0,1,['27/4=7'],['27/4=>6.75000000000000'],['7=>7.00000000000000'],['sympy'],['sympy'],[''],[''],[0],['6.75000000000000']
"David is taking a data analytics course that lasts for 24 weeks. The course consists of 2 three-hour classes and 1 four-hour class each week. In addition, David must spend 4 hours each week working on small group homework assignments. How many hours will he spend on this course?",Step 1,"Each week, David spends 3 hours in class and 4 hours working on homework for a total of 3 + 4 = <<3+4=7>>7 hours",0,1,['3+4=7'],['3+4=>7=>7.00000000000000'],['7=>7.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['7.00000000000000']
"David is taking a data analytics course that lasts for 24 weeks. The course consists of 2 three-hour classes and 1 four-hour class each week. In addition, David must spend 4 hours each week working on small group homework assignments. How many hours will he spend on this course?",Step 2,"In 24 weeks, David will spend 7 hours each week for a total of 24 * 7 = <<24*7=168>>168 hours The answer is: 168",0,1,['24*7=168'],['24*7=>168=>168.000000000000'],['168=>168.000000000000'],['sympy'],['sympy'],[''],[''],[1],['168.000000000000']
"At a convention, 16 of 36 delegates arrived with pre-printed name badges. Half of the remaining delegates made their own, hand-written name badges. How many delegates were not wearing name badges?",Step 1,The number of delegates who did not wear pre-printed name badges was 36 - 16 = <<36-16=20>>20.,1,1,['36-16=20'],['36-16=>20=>20.0000000000000'],['20=>20.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['20.0000000000000']
"At a convention, 16 of 36 delegates arrived with pre-printed name badges. Half of the remaining delegates made their own, hand-written name badges. How many delegates were not wearing name badges?",Step 2,The number of delegates who made their own name badges was 18/2 = <<18/2=9>>9.,0,1,['18/2=9'],['18/2=>9=>9.00000000000000'],['9=>9.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['9.00000000000000']
"At a convention, 16 of 36 delegates arrived with pre-printed name badges. Half of the remaining delegates made their own, hand-written name badges. How many delegates were not wearing name badges?",Step 3,The number of delegates who did not wear name badges was 20 + 9 = <<20+9=29>>29. The answer is: 29,0,1,['20+9=29'],['20+9=>29=>29.0000000000000'],['29=>29.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['29.0000000000000']
